NFCSID,A1,Retirement_Account,Contribute_Retirement,Own_Stocks,B2_2,Own_MutualFunds,Own_ETFs,Own_Annuities,B2_7,B2_20,Own_REITs,B2_22,B2_23,B2_24,B2_25,B3,B4,B5,B6,B20,B21,Risk_Tolerance,B11,B23,B24,B25,B26,C20_1,C20_2,C20_3,C20_4,C20_5,Advisor_Approval,C22_1,C22_2,C22_3,C22_4,C23_1,C23_2,C23_3,C23_4,C24,Fee_Confidence,C26,C7,Market_Confidence_LongTerm,Market_Fairness_Confidence,D2,Market_Performance,D20,D21,D4,E1_1,E20,E5,E6,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,F1_9,F2_1,F2_2,F2_5,F2_6,F2_20,F2_21,F2_22,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F3_8,F4,F5,F20,Investing_Comfort,Financial_Comfort,G20,Stock_Ownership_Knowledge,G5,Stock_vs_Bond_Knowledge,Financial_Knowledge_TrueFalse,G21,Risk_Perception_Knowledge,G22,G11,G12,G13,H2,H3,WGT1,Gender,Age Group,Ethnicity,Education,Annual Income,Investing_Comfort_score,Financial_Comfort_score,Market_Confidence_LongTerm_score,Market_Fairness_Confidence_score,Fee_Confidence_score,Own_Stocks_score,Own_MutualFunds_score,Own_ETFs_score,Own_Annuities_score,Own_REITs_score,Retirement_Account_score,Contribute_Retirement_score,Risk_Tolerance_score,Market_Performance_score,Advisor_Approval_score,Stock_Ownership_Knowledge_score,Stock_vs_Bond_Knowledge_score,Financial_Knowledge_TrueFalse_score,Risk_Perception_Knowledge_score,Total_Score,FinLit_Level
2018010042,Share decision-making,1,1,98,Don't know,1,1,98,No,No,1,No,No,No,Don't know,Don't know,"$500,000 to < $1,000,000",No,No Response Given,No Response Given,No,3,Don't know,No,No Response Given,No Response Given,No Response Given,Frequently,Never,Never,Never,Never,2.0,Never,Frequently,Never,Never,No,No,No,Yes,Prefer not to say,No Response Given,Yes,No,9,7,5% to 9.9%,3,Neither,Neither,1 - Strongly disagree,Don't know,Yes,Both,Paper mail,No,Yes,Yes,Don't know,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No Response Given,No,No Response Given,6,5,7 - Strongly agree,1,Don't know,1,1,Don't know,1,Don't know,Greater demand,$0,Sell borrowed shares,Yes,No,0.910655279,2,3,1,1,2,6,5,9,7,No Response Given,0,3,3,0,3,3,3,2,5,3.0,2,0,2,2,58.0,Average
2018010047,Primary decision-maker,1,1,1,Yes,1,1,1,No,Yes,2,No,Yes,No,No,1 to 3 times,"$25,000 to < $50,000",Yes,Yes,Yes,Yes,1,More than half,Yes,Extremely risky,Yes,Yes,Frequently,Frequently,Sometimes,Frequently,Sometimes,1.0,Frequently,Frequently,Sometimes,Frequently,Yes,Yes,No,Yes,0.5% to < 1%,9.0,Yes,Yes,10,9,0% to 4.9%,3,Sold,Buy,5,8,Yes,Protecting investors,In-person meeting,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No Response Given,8,5,6,3,Liable for debts,3,1,True,1,Less risky short term,Greater demand,$250,Sell before peak,Yes,Yes,1.566607663,1,1,2,2,2,8,5,10,9,9.0,3,3,3,2,1,3,3,5,5,5.0,0,0,2,2,78.0,High
2018010050,Share decision-making,1,1,1,Yes,2,2,2,No,No,2,No,No,No,No,None,"$1,000,000 or more",No,No Response Given,No Response Given,No,4,Less than half,Yes,Very risky,No,No,Frequently,Sometimes,Sometimes,Never,Never,1.0,Sometimes,Never,Never,Never,Don't know,Don't know,Don't know,Don't know,Don't know,No Response Given,No,No,7,3,Don't know,2,Neither,Don't know,4 - Neither agree nor disagree,Don't know,Don't know,Protecting investors,Paper mail,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No Response Given,No,No Response Given,6,4,4 - Neither agree nor disagree,1,Lent money to the company,3,98,False,1,Don't know,Can be tax-free,Don't know,Don't know,Yes,No,0.609443224,2,3,1,2,2,6,4,7,3,No Response Given,3,1,1,1,1,3,3,1,3,5.0,2,0,0,2,46.0,Below Average
2018010051,Primary decision-maker,1,1,2,No,1,2,1,No,Yes,2,No,No,No,No,None,"$250,000 to < $500,000",Prefer not to say,No Response Given,No Response Given,No,4,Less than half,Yes,Extremely risky,No,No,Frequently,Sometimes,Sometimes,Sometimes,Never,1.0,Never,Never,Never,Never,No,No,No,Yes,1% to < 2%,5.0,No,No,3,1,0% to 4.9%,2,Neither,Don't know,2,3,No,Both,In-person meeting,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No Response Given,No,No Response Given,4,2,3,2,Lent money to the company,2,1,False,98,Don't know,Lower risk,$500,Sell borrowed shares,Yes,No,0.609443224,1,3,1,2,2,4,2,3,1,5.0,1,3,1,2,1,3,3,1,3,5.0,0,2,2,0,42.0,Below Average
2018010053,Primary decision-maker,1,1,1,Yes,1,1,2,Yes,Yes,2,Yes,No,No,Yes,4 to 10 times,"$250,000 to < $500,000",No,No Response Given,No Response Given,Yes,2,Less than half,Yes,Very risky,No,No,Sometimes,Sometimes,Frequently,Frequently,Sometimes,2.0,Sometimes,Sometimes,Sometimes,Sometimes,No,No,Yes,Yes,0.5% to < 1%,9.0,Yes,Yes,9,9,5% to 9.9%,3,Bought,Buy,6,9,Yes,Both,Email delivery,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No Response Given,No Response Given,10,7,7 - Strongly agree,1,Lent money to the company,2,1,True,1,Lower fees/expenses,Can be tax-free,$0,Sell borrowed shares,Yes,Yes,0.609443224,1,3,1,2,3,10,7,9,9,9.0,3,3,3,1,1,3,3,4,5,3.0,2,2,2,2,81.0,High
2018010054,Share decision-making,1,1,1,No,1,2,1,No,Yes,2,No,No,No,No,None,Don't know,Don't know,No Response Given,No Response Given,Don't know,3,Less than half,Yes,Don't know,No,No,Sometimes,Sometimes,Never,Never,Never,1.0,Never,Never,Never,Never,No,Don't know,Don't know,Yes,Don't know,No Response Given,No,No,8,6,Don't know,3,Neither,Neither,3,6,No,Protecting institutions,Paper mail,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Don't know,No,No,No,No Response Given,No,No Response Given,6,3,5,1,Lent money to the company,2,98,True,98,Less likely to decline,Can be tax-free,Don't know,Don't know,Yes,No,0.609443224,2,3,1,2,3,6,3,8,6,No Response Given,3,3,1,2,1,3,3,2,5,5.0,2,2,0,0,55.0,Average
2018010066,Primary decision-maker,1,1,2,No,1,2,2,No,No,2,No,No,No,No,None,"$50,000 to < $100,000",Prefer not to say,No Response Given,No Response Given,Prefer not to say,3,More than half,No,No Response Given,No Response Given,No Response Given,Never,Never,Never,Never,Never,No Response Given,Never,Never,Never,Never,No,No,Yes,Yes,Prefer not to say,No Response Given,Prefer not to say,Prefer not to say,4,3,0% to 4.9%,2,Neither,Neither,3,5,No,Protecting investors,Email delivery,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No Response Given,No,No Response Given,6,4,4 - Neither agree nor disagree,1,Lent money to the company,2,1,False,99,Don't know,Can be tax-free,Don't know,Don't know,Yes,Yes,0.609443224,2,3,1,2,2,6,4,4,3,No Response Given,1,3,1,1,1,3,3,2,3,No Response Given,2,2,2,0,41.0,Below Average
2018010078,Primary decision-maker,1,1,2,No,1,2,2,No,Yes,2,No,No,No,No,None,"$10,000 to < $25,000",Prefer not to say,No Response Given,No Response Given,No,3,Less than half,Don't know,No Response Given,No Response Given,No Response Given,Frequently,Frequently,Never,Never,Never,2.0,Never,Never,Never,Never,No,No,Yes,No,1% to < 2%,7.0,No,No,98,98,Don't know,2,Neither,Neither,2,Don't know,Yes,Both,In-person meeting,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No Response Given,Yes,No Response Given,7,4,5,2,Lent money to the company,2,1,False,98,Don't know,Lower risk,$500,Sell at a loss,Yes,Yes,0.910655279,2,3,1,1,1,7,4,0,0,7.0,1,3,1,1,1,3,3,2,3,3.0,0,2,2,0,43.0,Below Average
2018010082,Primary decision-maker,1,1,1,No,1,2,2,No,No,2,No,No,No,No,None,"$100,000 to < $250,000",Don't know,No Response Given,No Response Given,No,3,Less than half,Yes,Moderately risky,No,No,Never,Never,Frequently,Never,Never,No Response Given,Never,Never,Sometimes,Never,No,Yes,Yes,Yes,1% to < 2%,7.0,No,No,8,6,5% to 9.9%,2,Neither,Don't know,2,7,No,Both,Email delivery,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No Response Given,Yes,No Response Given,8,5,5,1,Don't know,98,2,False,1,Less risky short term,Lower risk,Don't know,Sell at a loss,Yes,Yes,0.609443224,2,3,1,2,2,8,5,8,6,7.0,3,3,1,1,1,3,3,2,3,No Response Given,2,0,0,2,58.0,Average
2018010094,Share decision-making,1,1,2,No,1,2,1,No,Yes,2,No,No,No,Yes,None,"$500,000 to < $1,000,000",No,No Response Given,No Response Given,No,2,More than half,Yes,Very risky,No,No,Sometimes,Sometimes,Sometimes,Never,Never,1.0,Sometimes,Never,Never,Never,No,No,Yes,Yes,1% to < 2%,8.0,No,No,9,7,0% to 4.9%,2,Neither,Neither,3,7,Yes,Protecting investors,Email delivery,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No Response Given,No,No Response Given,8,5,6,1,Lent money to the company,2,1,False,1,Less risky short term,Can be tax-free,$250,Prefer not to say,Yes,Yes,0.609443224,1,3,1,2,3,8,5,9,7,8.0,1,3,1,2,1,3,3,4,3,5.0,2,2,2,2,71.0,High
