NFCSID,A1,A2,A3,Own Stocks,B2_2,Own Mutual Funds,Own ETFs,Own Annuities,B2_7,B2_20,Own REITs,B2_23,B2_24,Own Private Placements,B30,B31,B3,B32,B4,B5,B6,B20,B33,B34,Risk Tolerance,Stock Share of Portfolio,B35,B23,Crypto Risk Perception,B25,B26,C22_1,C22_2,C22_3,C22_4,C23_1,C23_2,C23_3,C23_4,C24,Emergency Confidence,C26,C30,C7,D1_1,D1_2,D2,D3,D21,D30,D31,E1_1,E20,E5,E6,Financial Advisors,Friends Family,Online Articles,Financial TV,Podcasts,Social Media,Government Websites,Company Publications,Financial Newsletters,Employer Resources,Influencers,Other Info Sources,Use Brokerage Apps,Use Robo Advisors,Use Banking Apps,Use Social Platforms,Use Spreadsheets,Use Forums,Use Investment Clubs,Use Financial News Apps,Use Podcasts,Use YouTube,Use Other Tools,Investing Confidence,Financial Comfort,Stay Calm During Downturns,Avoid Panic Selling,Monitor Investments Regularly,Diversify Portfolio,Save Consistently,Long-Term Focus,G31,G4,G5,G6,G7,G21,G8,G22,G11,G12,G13,G23,Estate Planning,WGT1,Gender,Age Group,Ethnicity,Education,Annual Income,Emergency Confidence_score,Investing Confidence_score,Financial Comfort_score,Stay Calm During Downturns_score,Avoid Panic Selling_score,Monitor Investments Regularly_score,Diversify Portfolio_score,Save Consistently_score,Long-Term Focus_score,Own Stocks_score,Own Mutual Funds_score,Own ETFs_score,Own Annuities_score,Own REITs_score,Own Private Placements_score,Risk Tolerance_score,Stock Share of Portfolio_score,Crypto Risk Perception_score,Financial Advisors_score,Friends Family_score,Online Articles_score,Financial TV_score,Podcasts_score,Social Media_score,Government Websites_score,Company Publications_score,Financial Newsletters_score,Employer Resources_score,Influencers_score,Other Info Sources_score,Use Brokerage Apps_score,Use Robo Advisors_score,Use Banking Apps_score,Use Social Platforms_score,Use Spreadsheets_score,Use Forums_score,Use Investment Clubs_score,Use Financial News Apps_score,Use Podcasts_score,Use YouTube_score,Use Other Tools_score,Estate Planning_score,Total_Score,FinLit_Level
2021010001,Primary decision-maker,Yes,Yes,1,No,1,2,2,No,Yes,1,No,No,2,5 to <10 years ago,2018 or earlier,11 times or more,No,"$250,000 to < $500,000",Yes,No,No Response Given,Yes,No,2,1,No,Yes,4.0,Yes,Yes,Never,Sometimes,Frequently,Sometimes,No,No,No,No,< 0.5%,7.0,Yes,Yes,Yes,9,7,15% to 19.9%,About the same as the market,Buy stocks or stock funds,Neither,5,7,No,Both,Documents accessed on the Internet,2,3,2,3,3,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,9,5,1,3,1,1,2,3,8,You own a part of the company,You have lent money to the company,Common stock,True,False,Stocks,Generally less risky in the short term,Municipal bonds can be tax-free,$250,Selling at a loss,Don't know,1,1.73604906279066,2,1,1,2,3,3.0,4,3,1,5,1,1,3,5,3,3,1,1,3,1,4,5,4.0,1,2,1,2,2,1,2,1,0,1,0,0,2,1,1,1,1,1,1,1,1,1,1,2,78.0,Average
2021010028,Primary decision-maker,Yes,Yes,1,No,1,2,2,No,Yes,2,No,No,2,10 years ago or more,2018 or earlier,4 to 10 times,Yes,"$25,000 to < $50,000",Yes,No,No Response Given,Yes,No,3,2,No,Yes,3.0,No,Don't know,Never,Sometimes,Frequently,Frequently,No,Yes,No,No,0.5% to < 1%,10.0,No,No,No,7,6,5% to 9.9%,About the same as the market,Buy stocks or stock funds,Neither,2,7,Yes,Protecting institutions,Paper documents by mail,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,4,2,3,2,1,1,1,10 - Extremely important,You have lent money to the company,You own a part of the company,Common stock,False,True,Precious metals,Lower fees and expenses,Greater demand for municipal bonds,$0,Selling at a loss,$0,1,0.547489916262363,2,3,1,2,1,5.0,4,2,3,5,3,1,1,1,3,3,1,1,1,1,3,3,3.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,70.0,Average
2021010039,Primary decision-maker,Yes,Yes,1,Yes,1,98,2,No,No,2,No,No,2,10 years ago or more,2018 or earlier,4 to 10 times,No,"$100,000 to < $250,000",Don't know,No Response Given,No Response Given,Yes,Yes,3,2,No,Yes,4.0,No,Yes,Sometimes,Sometimes,Sometimes,Never,Yes,Yes,Don't know,Don't know,0.5% to < 1%,7.0,Don't know,No,Don't know,8,6,5% to 9.9%,About the same as the market,Buy stocks or stock funds,Don't know,3,7,No,Both,Electronic by email,2,2,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,6,5,2,3,2,1,2,2,5,You own a part of the company,You have lent money to the company,Common stock,Don't know,False,Stocks,Generally less risky in the short term,Municipal bonds can be tax-free,$250,Selling borrowed shares,$0,2,0.547489916262363,1,3,1,2,2,3.0,3,3,3,5,3,1,3,3,3,3,0,1,1,1,3,3,4.0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,64.0,Average
2021010045,Share decision-making,No,Yes,2,No,98,98,98,No,No,2,No,No,98,1 to <2 years ago,Don't know,None,No,"$2,000 to < $5,000",Don't know,No Response Given,No Response Given,Don't know,No Response Given,3,98,No,Yes,4.0,No,Yes,Don't know,Never,Frequently,Frequently,No,No,No,No,Don't know,No Response Given,Don't know,Don't know,No,6,6,Don't know,Don't know,Don't know,Buy stocks or stock funds,5,Don't know,Don't know,Don't know,Paper documents by mail,99,99,99,99,99,99,99,99,99,99,99,3,1,2,2,2,2,2,2,2,2,2,2,7,5,2,2,1,98,98,2,7,Don't know,Don't know,Don't know,Don't know,True,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,2,1.63877296688841,1,2,2,1,1,No Response Given,3,3,3,3,1,0,0,3,1,0,0,0,1,0,3,0,4.0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,0,39.0,Below Average
2021010048,Primary decision-maker,Yes,Yes,1,No,1,2,2,No,No,2,No,No,2,10 years ago or more,2018 or earlier,1 to 3 times,No,"$50,000 to < $100,000",Don't know,No Response Given,No Response Given,Don't know,No Response Given,3,1,No,Yes,5.0,No,No,Sometimes,Sometimes,Never,Never,No,Yes,No,No,< 0.5%,8.0,No,No,No,7,1 - Not at all confident,5% to 9.9%,Better than the market,Don't know,Don't know,2,7,Don't know,Both,Electronic by email,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,8,6,2,2,1,1,1,1,3,You have lent money to the company,You have lent money to the company,Don't know,True,True,Stocks,Generally less likely to decline in value,Municipal bonds can be tax-free,$0,Selling before peak,-$10,2,0.870537201388863,1,3,1,1,1,4.0,4,4,3,3,1,1,1,1,3,3,1,1,1,1,3,5,5.0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,59.0,Average
2021010050,Primary decision-maker,Yes,Yes,1,No,2,1,2,No,No,1,No,No,2,2 to <5 years ago,2020,4 to 10 times,No,"$5,000 to < $10,000",Don't know,No Response Given,No Response Given,Don't know,No Response Given,3,2,No,Yes,4.0,No,No,Never,Never,Sometimes,Never,No,No,No,No,< 0.5%,7.0,No,No,No,10 - Extremely confident,9,5% to 9.9%,About the same as the market,Buy stocks or stock funds,Buy stocks or stock funds,1 - Strongly disagree,7,Yes,Both,Documents accessed on the Internet,1,3,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,10,5,1,3,1,1,1,3,1 - Not at all important,You own a part of the company,You have lent money to the company,Bonds,True,False,Stocks,Generally less risky in the short term,Don't know,$0,Don't know,Don't know,2,0.903030607790991,2,2,2,2,2,3.0,5,3,1,5,1,1,1,5,3,1,3,1,3,1,3,3,4.0,0,2,0,1,0,0,1,1,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,0,64.0,Average
2021010085,Primary decision-maker,Yes,Yes,1,Yes,1,98,2,No,No,2,No,No,2,10 years ago or more,2018 or earlier,1 to 3 times,No,"$250,000 to < $500,000",Don't know,No Response Given,No Response Given,Don't know,No Response Given,3,1,No,Yes,98.0,No,No,Frequently,Sometimes,Never,Never,No,Yes,Don't know,Yes,< 0.5%,9.0,No,No,No,9,8,5% to 9.9%,Don't know,Neither,Sell stocks or stock funds,1 - Strongly disagree,9,Yes,Both,Paper documents by mail,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,8,5,1,3,1,1,1,1,3,You own a part of the company,You have lent money to the company,Common stock,False,False,Stocks,Don't know,Municipal bonds can be tax-free,$0,Selling borrowed shares,Don't know,2,0.547489916262363,1,3,1,2,2,4.0,4,3,1,5,1,1,1,1,3,3,0,1,1,1,3,5,0.0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,53.0,Below Average
2021010088,Primary decision-maker,Yes,Yes,2,No,1,2,2,No,No,2,No,No,2,5 to <10 years ago,2020,None,No,"$50,000 to < $100,000",No,No Response Given,No Response Given,Don't know,No Response Given,1,1,No,Yes,4.0,No,No,Never,Sometimes,Never,Never,No,No,Yes,Yes,0.5% to < 1%,10.0,No,No,No,8,5,10% to 14.9%,About the same as the market,Neither,Neither,1 - Strongly disagree,10 - Extremely confident,Yes,Both,Paper documents by mail,3,3,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,7,4,1,3,1,1,1,2,1 - Not at all important,You own a part of the company,You have lent money to the company,Common stock,True,True,Stocks,Don't know,Municipal bonds are lower risk,$500,Selling at a loss,Don't know,1,0.547489916262363,2,3,2,2,2,5.0,3,2,1,5,1,1,1,3,1,3,1,1,1,1,5,5,4.0,2,2,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,62.0,Average
2021010090,Primary decision-maker,Yes,Yes,1,No,2,2,2,No,Yes,2,No,No,2,2 to <5 years ago,Don't know,11 times or more,No,"$100,000 to < $250,000",No,No Response Given,No Response Given,No,No Response Given,4,2,No,Yes,5.0,No,No,Sometimes,Sometimes,Frequently,Never,Yes,Yes,No,Yes,0.5% to < 1%,3.0,No,No,No,7,7,5% to 9.9%,About the same as the market,Neither,Neither,3,7,Yes,Both,Paper documents by mail,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,7,3,2,2,2,1,1,3,5,Don't know,Don't know,Don't know,True,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,1,0.547489916262363,2,3,1,2,2,1.0,3,2,3,3,3,1,1,5,3,1,1,1,1,1,1,3,5.0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,57.0,Average
2021010095,Primary decision-maker,Yes,Yes,1,No,2,2,1,No,Don't know,2,No,No,2,10 years ago or more,2018 or earlier,None,No,"$250,000 to < $500,000",Don't know,No Response Given,No Response Given,Don't know,No Response Given,4,3,No,No,No Response Given,No Response Given,No Response Given,Never,Never,Never,Never,No,Don't know,Don't know,Don't know,< 0.5%,6.0,No,No,No,Don't know,Don't know,Don't know,Don't know,Neither,Neither,1 - Strongly disagree,Don't know,Don't know,Both,Paper documents by mail,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,1,1,Don't know,Don't know,Don't know,Don't know,True,True,Don't know,Don't know,Don't know,$250,Don't know,Don't know,2,0.870537201388863,2,3,1,1,1,3.0,1,1,1,5,1,1,1,1,3,1,1,3,1,1,1,1,No Response Given,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,40.0,Below Average
