State,Census Division,Census Region,Gender,Age Group,Gender&Age,Education,Annual Income,Checking Account,Savings Account,Overdraw,Other Investments,Other Retirement Accounts,Number of Credit Cards,Credit Card Balance Interest,Emergency Funds,Retirement Planning,Health Insurance,Financial Confidence,Financial Knowledge,Emergency Funds_score,Retirement Planning_score,Health Insurance_score,Checking Account_score,Savings Account_score,Other Investments_score,Other Retirement Accounts_score,Overdraw_score,Credit Card Balance Interest_score,Number of Credit Cards_score,Total_Score,FinLit_Level
Tennessee,East South Central,South,Female,25-34,Female 25-34,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,,1,Yes,No,No,Yes,Strongly agree,5,1,1,5,3,3,3,,3,1,2,22,Average
Texas,West South Central,South,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,No,Yes,,4 to 8,Yes,No,,No,Moderately agree,6,1,,1,3,3,3,,3,1,3,18,Moderately Low
Texas,West South Central,South,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,2 to 3,Yes,No,Yes,Yes,Moderately agree,5,1,3,5,3,3,3,3,3,1,3,28,Moderately High
New York,Middle Atlantic,Northeast,Female,35-44,Female 35-44,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",No,Yes,,No,,No credit cards,,No,No,Yes,Moderately disagree,6,1,1,5,1,3,1,,,,1,13,Moderately Low
California,Pacific,West,Male,65+,Male 65+,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,No credit cards,,No,No,Yes,Moderately agree,4,1,1,5,3,3,1,,1,,1,16,Moderately Low
California,Pacific,West,Female,35-44,Female 35-44,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,No,No,,1,Yes,No,Yes,No,Strongly agree,6,1,3,1,3,3,1,,3,1,2,18,Moderately Low
Indiana,East North Central,Midwest,Female,45-54,Female 45-54,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,No,No,Yes,Yes,2 to 3,Yes,No,No,Yes,Strongly agree,7,1,1,5,3,1,3,3,3,1,3,24,Average
Pennsylvania,Middle Atlantic,Northeast,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,Yes,No,Yes,Yes,2 to 3,No,No,Yes,No,Slightly agree,5,1,3,1,3,3,3,3,3,3,3,26,Average
New York,Middle Atlantic,Northeast,Female,35-44,Female 35-44,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,No,Yes,No credit cards,,No,Yes,Yes,Slightly disagree,5,1,3,5,3,3,1,3,3,,1,23,Average
New York,Middle Atlantic,Northeast,Male,35-44,Male 35-44,"Some college, no degree","At least $150,000 but less than $200,000",Yes,Yes,No,Yes,Yes,4 to 8,No,Yes,Yes,Yes,Strongly agree,6,5,3,5,3,3,3,3,3,3,3,34,High
